cluster1	cluster2	cluster3	cluster4	cluster5	cluster6	cluster7	cluster8	cluster9	cluster10
root	0.8	0.21	0.03	0.08	0.08	0.02	0.03	0.12	0.15	0.17
cluster1	0	0.79	0.21	0.1	0.12	0.21	0.03	0.1	0.17	0.19
cluster2	0.2	0	0.76	0.07	0.09	0.76	0.04	0.12	0.17	0.18
cluster3	0	0	0	0.55	0.5	0	0	0.13	0.17	0
cluster4	0	0	0	0	0.2	0	0	0.1	0.17	0
cluster5	0	0	0	0.19	0	0	0	0.12	0.17	0
cluster6	0	0	0	0	0	0	0.89	0.15	0	0.22
cluster7	0	0	0	0	0	0	0	0.15	0	0.24
cluster8	0	0	0	0	0	0	0	0	0	0
cluster9	0	0	0	0	0	0	0	0	0	0
cluster10	0	0	0	0	0	0	0	0	0	0
